is_scam,cleaned_stipend_monthly,has_website,has_email,skills_count,title_word_count,desc_char_length,numeric_openings,is_bulk_hiring,is_wfh_short_duration,company_name_word_count,link_count_desc,contact_count_desc,all_caps_ratio_desc,keyword_count,stipend_to_skills_ratio,text_density_index,low_skills_high_urgency,is_anonymous_recruiter,readability_score,fraud_phrase_score,urgency_score,contact_risk_score,skill_richness_score
0,13500.0,1,0,5,4,1615,5,0,0,4,0,0,0.03003003003003003,0,2250.0,0.0024752475247524753,0,0,25.881544303797483,0,1,0,1.0
0,10000.0,0,0,2,4,535,30,1,0,5,0,0,0.027210884353741496,0,3333.3333333333335,0.007462686567164179,0,1,19.094480633802846,0,0,0,0.4
0,15000.5,1,0,6,7,1135,10,0,0,4,0,0,0.031545741324921134,0,2142.9285714285716,0.006161971830985915,0,0,15.233257961783465,0,0,0,0.75
0,4999.5,1,0,4,5,788,40,1,0,5,0,0,0.030120481927710843,0,999.9,0.0063371356147021544,0,0,26.26115384615386,0,0,0,0.6666666666666666
0,16500.0,1,0,3,4,377,2,0,0,4,0,0,0.04516129032258064,0,4125.0,0.010582010582010581,0,0,11.222499999999997,0,0,0,0.6
0,17500.0,1,0,1,4,2259,4,0,0,5,0,0,0.04072647220693451,0,8750.0,0.0017699115044247787,0,0,26.46273216031281,0,0,0,0.2
0,7500.0,1,0,3,4,510,3,0,0,5,0,0,0.02158273381294964,0,1875.0,0.007827788649706457,0,0,21.25008706467662,0,0,0,0.6
0,10000.5,1,0,1,5,730,2,0,0,3,0,0,0.027463651050080775,0,5000.25,0.006839945280437756,0,0,1.675698924731165,0,0,0,0.16666666666666666
0,9000.0,1,0,5,5,348,3,0,0,4,0,0,0.06354515050167224,1,1500.0,0.014326647564469915,0,0,-51.438536585365824,10,0,0,0.8333333333333334
0,13500.0,1,0,6,6,1189,1,0,0,2,0,0,0.025157232704402517,0,1928.5714285714287,0.005042016806722689,0,0,34.97360729768789,6,0,8,0.8571428571428571
0,12500.0,1,0,5,4,427,2,0,0,2,0,0,0.019830028328611898,0,2083.3333333333335,0.009345794392523364,0,0,12.850000000000023,0,0,0,1.0
0,11000.0,0,0,2,8,409,50,1,1,3,0,0,0.01791044776119403,1,3666.6666666666665,0.01951219512195122,0,1,21.73485714285718,10,0,0,0.2222222222222222
0,11000.0,0,0,5,7,367,30,1,0,3,0,0,0.020477815699658702,0,1833.3333333333333,0.019021739130434784,0,1,24.101,0,0,0,0.625
0,12000.0,1,0,2,3,307,0,0,0,2,0,0,0.016129032258064516,0,4000.0,0.00974025974025974,0,0,19.025000000000006,0,0,0,0.5
0,9000.0,0,0,2,1,7,0,0,0,4,0,0,0.14285714285714285,0,3000.0,0.125,0,1,36.62000000000003,0,0,0,1.0
1,12500.0,1,0,4,4,2384,1,0,0,2,0,0,0.021393034825870648,0,2500.0,0.0016771488469601676,0,0,-48.763681063122874,0,0,0,0.8
0,32500.0,1,0,3,6,1399,1,0,0,2,0,0,0.04847396768402154,0,8125.0,0.004285714285714286,0,0,30.775673076923084,0,0,0,0.42857142857142855
